Cell[i]  Cell[j]  hitPeriod[min]  hitROS[m/min]
205 186 20.0 6.98004410195
205 185 68.0 2.20372451899
205 206 68.0 2.20372451899
205 184 192.0 1.23068133158
205 226 192.0 1.23068133158
205 225 214.0 0.727485050435
205 204 214.0 0.727485050435
205 224 304.0 0.563726918491
186 167 41.0 6.98004410195
167 148 61.0 15.3969315411
148 129 71.0 15.3969315411
185 166 78.0 15.3969315411
185 165 114.0 2.20372451899
206 187 78.0 15.3969315411
206 207 114.0 2.20372451899
129 110 81.0 15.3969315411
187 168 88.0 15.3969315411
187 188 123.0 2.90398184679
166 147 88.0 15.3969315411
166 146 123.0 2.90398184679
110 91 91.0 15.3969315411
168 149 98.0 15.3969315411
147 128 98.0 15.3969315411
91 72 101.0 15.3969315411
128 109 108.0 15.3969315411
149 130 108.0 15.3969315411
72 53 111.0 15.3969315411
130 111 118.0 15.3969315411
109 90 118.0 15.3969315411
53 34 121.0 23.2964540567
165 146 123.0 23.2964540567
165 145 150.0 2.90398184679
207 188 123.0 23.2964540567
207 208 150.0 2.90398184679
90 71 125.0 23.2964540567
111 92 125.0 23.2964540567
34 15 128.0 23.2964540567
146 127 130.0 23.2964540567
188 169 130.0 23.2964540567
92 73 132.0 23.2964540567
71 52 132.0 23.2964540567
169 150 137.0 23.2964540567
127 108 137.0 23.2964540567
73 54 139.0 23.2964540567
52 33 139.0 23.2964540567
108 89 144.0 23.2964540567
150 131 144.0 23.2964540567
33 14 146.0 23.2964540567
54 35 146.0 23.2964540567
89 70 151.0 23.2964540567
131 112 151.0 23.2964540567
35 16 153.0 23.2964540567
208 189 157.0 23.2964540567
208 209 184.0 3.99173919143
145 126 157.0 23.2964540567
145 125 184.0 3.99173919143
112 93 158.0 23.2964540567
70 51 158.0 23.2964540567
189 170 164.0 23.2964540567
126 107 164.0 23.2964540567
51 32 165.0 23.2964540567
93 74 165.0 23.2964540567
170 151 171.0 23.2964540567
107 88 171.0 23.2964540567
32 13 172.0 23.2964540567
74 55 172.0 23.2964540567
88 69 178.0 23.2964540567
151 132 178.0 23.2964540567
55 36 179.0 23.2964540567
132 113 182.0 56.4572912152
69 50 182.0 56.4572912152
36 17 183.0 56.4572912152
113 94 185.0 56.4572912152
50 31 185.0 56.4572912152
209 190 187.0 56.4572912152
209 210 210.0 3.99173919143
125 106 187.0 56.4572912152
125 105 210.0 3.99173919143
94 75 188.0 56.4572912152
31 12 188.0 56.4572912152
106 87 190.0 56.4572912152
106 86 213.0 3.99173919143
190 171 190.0 56.4572912152
190 191 213.0 3.99173919143
75 56 191.0 56.4572912152
171 152 193.0 56.4572912152
171 172 216.0 3.99173919143
87 68 193.0 56.4572912152
87 67 216.0 3.99173919143
56 37 194.0 56.4572912152
184 164 218.0 3.99173919143
184 163 309.0 1.11874907012
226 227 218.0 3.99173919143
226 247 309.0 1.11874907012
152 133 196.0 56.4572912152
152 153 219.0 3.99173919143
68 49 196.0 56.4572912152
68 48 219.0 3.99173919143
37 18 197.0 56.4572912152
49 30 199.0 56.4572912152
49 29 222.0 3.99173919143
133 114 199.0 56.4572912152
133 134 222.0 3.99173919143
114 95 202.0 56.4572912152
114 115 225.0 3.99173919143
30 11 202.0 56.4572912152
30 10 225.0 3.99173919143
95 76 205.0 56.4572912152
95 96 228.0 3.99173919143
76 57 208.0 56.4572912152
76 77 231.0 3.99173919143
57 38 211.0 56.4572912152
57 58 234.0 3.99173919143
105 86 213.0 56.4572912152
105 85 236.0 3.99173919143
210 191 213.0 56.4572912152
210 211 236.0 3.99173919143
38 19 214.0 56.4572912152
38 39 237.0 3.99173919143
86 67 216.0 56.4572912152
86 66 239.0 3.99173919143
191 172 216.0 56.4572912152
191 192 239.0 3.99173919143
225 246 333.0 1.11874907012
225 245 358.0 0.659566661846
19 20 240.0 3.99173919143
204 183 333.0 1.11874907012
204 203 358.0 0.659566661846
67 48 219.0 56.4572912152
67 47 242.0 4.00997293583
172 153 219.0 56.4572912152
172 173 242.0 4.00997293583
227 228 244.0 4.00997293583
227 248 337.0 1.11874907012
164 144 244.0 4.00997293583
164 143 337.0 1.11874907012
48 29 222.0 56.4572912152
153 134 222.0 56.4572912152
29 10 225.0 56.4572912152
134 115 225.0 56.4572912152
115 96 228.0 56.4572912152
96 77 231.0 56.4572912152
77 58 234.0 56.4572912152
58 39 237.0 56.4572912152
211 192 239.0 56.4572912152
211 212 261.0 4.00997293583
85 66 239.0 56.4572912152
85 65 261.0 4.00997293583
39 20 240.0 56.4572912152
192 173 242.0 73.2685247036
66 47 242.0 73.2685247036
173 154 244.0 73.2685247036
47 28 244.0 73.2685247036
144 124 269.0 4.00997293583
154 135 246.0 73.2685247036
28 9 246.0 73.2685247036
228 229 269.0 4.00997293583
135 116 248.0 73.2685247036
116 97 250.0 73.2685247036
97 78 252.0 73.2685247036
78 59 254.0 73.2685247036
59 40 256.0 73.2685247036
65 46 263.0 73.2685247036
65 45 286.0 4.00997293583
212 193 263.0 73.2685247036
212 213 286.0 4.00997293583
193 174 265.0 73.2685247036
193 194 288.0 4.00997293583
46 27 265.0 73.2685247036
46 26 288.0 4.00997293583
27 8 267.0 73.2685247036
27 7 290.0 4.00997293583
174 155 267.0 73.2685247036
174 175 290.0 4.00997293583
